id,revenue,Province,regional,class,year,month
sst0ss0s,17012788.37,Sumatera Utara,Regional 1,gold,2021,1
sst0ss0s,16703720.12,Sumatera Utara,Regional 1,gold,2021,2
sst0ss0s,16907886.5,Sumatera Utara,Regional 1,gold,2021,3
sst0ss0s,17612483.94,Sumatera Utara,Regional 1,gold,2021,4
sst0ss0s,18601047.0,Sumatera Utara,Regional 1,gold,2021,5
sst0ss0s,16638457.7,Sumatera Utara,Regional 1,gold,2021,6
sst0ss0s,14670587.51,Sumatera Utara,Regional 1,gold,2021,7
sst0ss0s,14956783.85,Sumatera Utara,Regional 1,gold,2021,8
sst0ss0s,16902790.6,Sumatera Utara,Regional 1,gold,2021,9
sst0ss0s,20884512.03,Sumatera Utara,Regional 1,gold,2021,10
sst0ss0s,19732300.09,Sumatera Utara,Regional 1,gold,2021,11
sst0ss0s,21666934.37,Sumatera Utara,Regional 1,gold,2021,12
sst0ss0t,13095463.42,Sumatera Utara,Regional 1,gold,2021,1
sst0ss0t,13275257.76,Sumatera Utara,Regional 1,gold,2021,2
sst0ss0t,14518801.42,Sumatera Utara,Regional 1,gold,2021,3
sst0ss0t,12516530.74,Sumatera Utara,Regional 1,gold,2021,4
sst0ss0t,13317848.68,Sumatera Utara,Regional 1,gold,2021,5
sst0ss0t,13565399.23,Sumatera Utara,Regional 1,gold,2021,6
sst0ss0t,10881167.25,Sumatera Utara,Regional 1,gold,2021,7
sst0ss0t,12120559.12,Sumatera Utara,Regional 1,gold,2021,8
sst0ss0t,13429470.34,Sumatera Utara,Regional 1,gold,2021,9
sst0ss0t,15705942.0,Sumatera Utara,Regional 1,gold,2021,10
sst0ss0t,15789394.0,Sumatera Utara,Regional 1,gold,2021,11
sst0ss0t,16458068.86,Sumatera Utara,Regional 1,gold,2021,12
sst0ss03,7501632.97,Sumatera Utara,Regional 1,silver,2021,1
sst0ss03,7238501.83,Sumatera Utara,Regional 1,silver,2021,2
sst0ss03,8129191.95,Sumatera Utara,Regional 1,silver,2021,3
sst0ss03,5962186.19,Sumatera Utara,Regional 1,silver,2021,4
sst0ss03,8099934.64,Sumatera Utara,Regional 1,silver,2021,5
sst0ss03,8003883.78,Sumatera Utara,Regional 1,silver,2021,6
sst0ss03,7058894.8,Sumatera Utara,Regional 1,silver,2021,7
sst0ss03,6760656.48,Sumatera Utara,Regional 1,silver,2021,8
sst0ss03,7904381.04,Sumatera Utara,Regional 1,silver,2021,9
sst0ss03,8906666.82,Sumatera Utara,Regional 1,silver,2021,10
sst0ss03,8405184.32,Sumatera Utara,Regional 1,silver,2021,11
sst0ss03,9111064.56,Sumatera Utara,Regional 1,silver,2021,12
sst0ss04,5874566.3,Sumatera Utara,Regional 1,silver,2021,1
sst0ss04,5652444.35,Sumatera Utara,Regional 1,silver,2021,2
sst0ss04,6822220.69,Sumatera Utara,Regional 1,silver,2021,3
sst0ss04,6560735.97,Sumatera Utara,Regional 1,silver,2021,4
sst0ss04,6630176.44,Sumatera Utara,Regional 1,silver,2021,5
sst0ss04,6545250.39,Sumatera Utara,Regional 1,silver,2021,6
sst0ss04,5275728.95,Sumatera Utara,Regional 1,silver,2021,7
sst0ss04,5312318.33,Sumatera Utara,Regional 1,silver,2021,8
sst0ss04,6398452.77,Sumatera Utara,Regional 1,silver,2021,9
sst0ss04,7530917.0,Sumatera Utara,Regional 1,silver,2021,10
sst0ss04,7408871.29,Sumatera Utara,Regional 1,silver,2021,11
sst0ss04,8057624.88,Sumatera Utara,Regional 1,silver,2021,12
