Province,month,revenue
Bali,1,788048452.56
Bali,2,715837001.18
Bali,3,822398917.4399999
Bali,4,832432765.25
Bali,5,835766681.62
Bali,6,871842215.79
Bali,7,769640941.67
Bali,8,830333241.2
Bali,9,933521678.85
Bali,10,1059009406.52
Bali,11,993820322.76
Bali,12,1055785927.52
Banten,1,2132866540.43
Banten,2,2016694575.82
Banten,3,2338294472.1
Banten,4,2247814094.81
Banten,5,2166622256.1
Banten,6,2269600203.04
Banten,7,2047138778.03
Banten,8,2253447991.46
Banten,9,2337706995.7
Banten,10,2520041636.27
Banten,11,2436947721.76
Banten,12,2538393098.26
Bengkulu,1,313314126.25
Bengkulu,2,295978365.26
Bengkulu,3,341035966.8
Bengkulu,4,321576770.18
Bengkulu,5,294424820.76
Bengkulu,6,307950937.81
Bengkulu,7,324999113.58
Bengkulu,8,298320530.6
Bengkulu,9,295495592.78000003
Bengkulu,10,305951034.25
Bengkulu,11,288869380.09
Bengkulu,12,313271311.31
DI Yogyakarta,1,705517383.92
DI Yogyakarta,2,655661290.57
DI Yogyakarta,3,783457578.96
DI Yogyakarta,4,764492639.33
DI Yogyakarta,5,805434409.57
DI Yogyakarta,6,807760898.91
DI Yogyakarta,7,663152094.6
DI Yogyakarta,8,761366694.59
DI Yogyakarta,9,832495195.75
DI Yogyakarta,10,921717085.11
DI Yogyakarta,11,871685373.84
DI Yogyakarta,12,897670199.25
DKI Jakarta,1,2200292367.84
DKI Jakarta,2,2093206581.26
DKI Jakarta,3,2461117859.19
DKI Jakarta,4,2464164152.58
DKI Jakarta,5,2407155218.86
DKI Jakarta,6,2462937374.7
DKI Jakarta,7,2002657369.98
DKI Jakarta,8,2371669488.94
DKI Jakarta,9,2613729605.49
DKI Jakarta,10,2790132919.27
DKI Jakarta,11,2869250838.92
DKI Jakarta,12,3029884145.27
Gorontalo,1,148516997.8
Gorontalo,2,146851442.24
Gorontalo,3,170233451.91
Gorontalo,4,191425075.05
Gorontalo,5,189665527.76
Gorontalo,6,185648385.36
