,tanggal,judul,judul_clean
0,2021-12-01,"Genoa Vs AC Milan, Shevchenko Ingin Buat Mantan Klub Kesulitan",genoa vs ac mil shevchenko mantan klub sulit
1,2021-12-01,ODHA di Depok Masih Dapat Stigma Negatif,odha depok stigma negatif
2,2021-12-01,Pemprov Jakarta Bentuk Tim Khusus Awasi Alat Makan Bahan Melamin Tak Ber-SNI,pemprov jakarta bentuk tim khusus awas alat makan bahan melamin ber sni
3,2021-12-01,Penonton Lokal Piala AFF 2020 Acuhkan 5 Aturan Ini,tonton lokal piala aff acuh atur
4,2021-12-01,"Pada Akhir Pekan, Penumpang di Bandara Soekarno-Hatta Capai 90.000 Orang",pekan tumpang bandara soekarno hatta capai orang
5,2021-12-01,"PPKM Level 2, Regulasi PTM di Jakarta Barat Tidak Berubah",ppkm level regulasi ptm jakarta barat ubah
6,2021-12-01,"Link Live Streaming Bologna Vs Roma, Kick-off Pukul 00.30 WIB",link live streaming bologna vs roma kick off wib
7,2021-12-01,"Singgung Varian Corona Omicron, Menlu Ungkap 4 Agenda RI Wujudkan Visi 2045 ",singgung varian corona omicron menlu agenda ri wujud visi
8,2021-12-01,"Real Madrid Vs Athletic Bilbao, Singa Basque Wajib Waspadai Benzema",real madrid vs athletic bilbao singa basque wajib waspada benzema
9,2021-12-01,Pelatih Timnas China Akui Kesulitan lantaran Covid-19,latih timnas china sulit lantar covid
10,2021-12-01,"Mensos Ingatkan Guru Ajarkan Siswa Tak ""Bully"" Penyandang Disabilitas",mensos guru ajar siswa bully sandang disabilitas
11,2021-12-01,"Link Live Streaming Inter Milan Vs Spezia, Kick-off Pukul 00.30 WIB",link live streaming inter mil vs spezia kick off wib
12,2021-12-01,Ragam Istilah Teknis pada AC yang Perlu Diketahui,ragam istilah teknis ac
13,2021-12-01,"Massa Reuni 212 Bakal Kumpul di Patung Kuda, Ini Respons Wagub DKI",massa reuni kumpul patung kuda respons wagub dki
14,2021-12-01,MyPertamina Fair 2021 Siap Manjakan Pelanggan Setia Pertamina,mypertamina fair manja langgan setia pertamina
15,2021-12-01,"Dugaan Korupsi Dana KONI Padang, Pengurus Cabor Minta Kejari Usut Aliran Dana",duga korupsi dana koni padang urus cabor kejar usut alir dana
16,2021-12-01,"Daftar 5 ""Veteran"" di Skuad Timnas Indonesia untuk Piala AFF 2020",daftar veteran skuad timnas indonesia piala aff
17,2021-12-01,Ambisi Guangzhou FC Raih Kali Kesembilan Juara Liga Super China,ambisi guangzhou fc raih kali sembilan juara liga super china
18,2021-12-01,"Selidiki Tewasnya Anggota FBR Joglo, Polisi: Pemeriksaan Saksi Tanpa Bawa Nama Ormas",selidik tewas anggota fbr joglo polisi periksa saksi bawa nama ormas
19,2021-12-01,Gunung Merapi Keluarkan 2 Awan Panas Guguran Malam Ini,gunung rapi awan panas gugur malam
20,2021-12-01,"Jokowi Lantik Anggota Komnas Disabilitas, Mensos: Beban Saya Turun",jokowi lantik anggota komnas disabilitas mensos beban turun
21,2021-12-01,Warga Akan Patungan jika Pemkot Tak Segera Ganti Tutup Gorong-gorong di Margonda yang Hilang,warga patungan pemkot ganti tutup gorong gorong margonda hilang
22,2021-12-01,"Cilegon Berpotensi Tsunami 8 Meter, Wali Kota Minta Alarm Tanda Bahaya Dicek",cilegon potensi tsunami meter wali kota alarm tanda bahaya cek
23,2021-12-01,Kunto Aji Sebut Lagu Terlalu Lama Sendiri Selamatkan Kariernya,kunto aji lagu selamat karier
24,2021-12-01,6 Langkah Ini Jadi Kewajiban Tim di Piala AFF 2020,langkah wajib tim piala aff
25,2021-12-01,"Disenggol Mobil di Flyover Pekanbaru, Pemotor Tewas Terjatuh dari Ketinggian 5 Meter",senggol mobil flyover pekanbaru motor tewas jatuh meter
26,2021-12-01,Alex Pina Ungkap Pandangannya untuk Money Heist yang Tamat di Season 5 Volume 2,alex pina pandang money heist tamat season volume
27,2021-12-01,"Catat, 4 Benda Ini Tidak Boleh Dibuang Sembarangan",catat benda buang sembarang
28,2021-12-01,"Harga Minyak Goreng di Jakut Tembus Rp 22.000 per Liter, Pedagang: Naik Terus Tiap Minggu",harga minyak goreng jakut tembus rp liter dagang minggu
29,2021-12-01,"UPDATE: Tambah 70 Kasus di Jakarta, 462 Pasien Covid-19 Masih Dirawat",update jakarta pasien covid rawat
30,2021-12-01,"MIN 1, MTsN 1 dan MAN 2 Banyumas Persiapkan Diri Menuju Madrasah Berasrama",min mtsn man banyumas tuju madrasah asrama
31,2021-12-01,"Pernah Alami Penyumbatan Empedu, Kunto Aji Rasakan Sakit sampai Kurus",alami sumbat empedu kunto aji sakit kurus
32,2021-12-01,"Money Heist Season 5 Volume 2 Siap Tayang, Apa Perbedaannya dengan Volume 1?",money heist season volume tayang beda volume
33,2021-12-01,Pengusaha Properti dan DPRD Gresik Bantu Warga Terdampak Banjir Kali Lamong,usaha properti dprd gresik bantu warga dampak banjir kali lamong
34,2021-12-01,"BWF World Tour Finals, Alasan Kevin Tampil Beda Pakai ""Headband""",bwf world tour finals alas kevin tampil beda pakai headband
35,2021-12-01,Taat Prokes di Fasyankes dan Kolaborasi Multipihak Jadi Kunci Pencegahan Stunting,taat prokes fasyankes kolaborasi multipihak kunci cegah stunting
36,2021-12-01,Polisi Sebut Terduga Teroris di Luwu Timur Pernah Berlatih Pakai Senpi M16,polisi duga teroris luwu timur latih pakai senpi m
37,2021-12-01,Raditya Dika Telah Siapkan Dana Pernikahan Anaknya yang Masih Berusia 2 Tahun,raditya dika dana nikah anak usia
38,2021-12-01,Respons Sahroni Diminta Mundur sebagai Ketua Pelaksana Formula E Jakarta,respons sahroni mundur ketua laksana formula e jakarta
39,2021-12-01,"Buruh Protes UMP 2022, Menteri Bahlil: Yang Penting Dapat Gaji",buruh protes ump menteri bahlil gaji
40,2021-12-01,"Usai Dirundung Pandemi Covid-19, Liga Super China Kembali Bangkit",rundung pandemi covid liga super china bangkit
